# #CIE cooling from Gnat and Ferland 2012: http://wise-obs.tau.ac.il/~orlyg/ion_by_ion/
# #This is the CIE cooling used by Kim+2023, ApJS 264, 10
# #Tgas is in K, cool_He and cool_ZCIE are in erg cm^3/s
# #Total CIE cooling at any metalicity Z is given by: cool_He + Z*cool_ZCIE
# #Tgas Cool_He Cool_ZCIE
1.000000e+04 2.4083300000e-30 7.492228446690100e-24
1.050000e+04 6.9611800000e-30 8.644996042910500e-24
1.100000e+04 1.9062400000e-29 9.912619993315401e-24
1.160000e+04 5.0974900000e-29 1.136030818348080e-23
1.220000e+04 1.2935200000e-28 1.290221270289080e-23
1.280000e+04 3.1401900000e-28 1.461178939367960e-23
1.340000e+04 7.3271100000e-28 1.655354598870560e-23
1.410000e+04 1.6594500000e-27 1.876929049467760e-23
1.480000e+04 3.6507900000e-27 2.124639670667776e-23
1.550000e+04 7.6930400000e-27 2.389942041187489e-23
1.630000e+04 1.5658400000e-26 2.649516744612241e-23
1.710000e+04 3.1231700000e-26 2.865513906818880e-23
1.800000e+04 5.9995500000e-26 3.044408567848312e-23
1.890000e+04 1.1233200000e-25 3.175317318270440e-23
1.990000e+04 2.0424000000e-25 3.268779476413448e-23
2.090000e+04 3.6082400000e-25 3.358725830307352e-23
2.200000e+04 6.1527300000e-25 3.451298646992280e-23
2.310000e+04 1.0041800000e-24 3.572298755018881e-23
2.430000e+04 1.5743500000e-24 3.741409923125688e-23
2.560000e+04 2.3147200000e-24 3.969706817594184e-23
2.690000e+04 3.1657200000e-24 4.260529345542128e-23
2.830000e+04 3.9571500000e-24 4.622360322941056e-23
2.980000e+04 4.5273200000e-24 5.052844377350448e-23
3.140000e+04 4.7911300000e-24 5.563423894130064e-23
3.300000e+04 4.7911300000e-24 6.146785110049825e-23
3.470000e+04 4.6294400000e-24 6.822613231329777e-23
3.650000e+04 4.3911600000e-24 7.589195056278883e-23
3.840000e+04 4.1869200000e-24 8.451460335208119e-23
4.040000e+04 4.0848000000e-24 9.387171164017460e-23
4.260000e+04 4.1699000000e-24 1.040595641946690e-22
4.480000e+04 4.5528500000e-24 1.154133402673647e-22
4.710000e+04 5.3783200000e-24 1.275660826242024e-22
4.960000e+04 6.8250200000e-24 1.409950825390228e-22
5.220000e+04 9.1057000000e-24 1.551819428264483e-22
5.490000e+04 1.2594800000e-23 1.703363563087616e-22
5.780000e+04 1.7615700000e-23 1.863645335413687e-22
6.080000e+04 2.4253500000e-23 2.034359709080779e-22
6.400000e+04 3.2593300000e-23 2.208601971521710e-22
6.740000e+04 4.2124500000e-23 2.391629317184711e-22
7.090000e+04 5.1825900000e-23 2.574000820036460e-22
7.460000e+04 6.0080600000e-23 2.749589854255841e-22
7.860000e+04 6.5441900000e-23 2.920309315141408e-22
8.270000e+04 6.7399200000e-23 3.091691178805640e-22
8.700000e+04 6.6122700000e-23 3.255480532874992e-22
9.160000e+04 6.2548500000e-23 3.413989235982648e-22
9.640000e+04 5.7612700000e-23 3.562505430824768e-22
1.020000e+05 5.2081200000e-23 3.673586187642896e-22
1.070000e+05 4.6719900000e-23 3.720964692106223e-22
1.120000e+05 4.1613900000e-23 3.712223503286712e-22
1.180000e+05 3.6933400000e-23 3.658756359067937e-22
