           30,          30
   0.16000000E+02   0.00000000E+00  -0.25159115E+02
   0.16000000E+02  -0.17241380E+00  -0.25158799E+02
   0.16000000E+02  -0.34482759E+00  -0.25158587E+02
   0.16000000E+02  -0.51724136E+00  -0.25158444E+02
   0.16000000E+02  -0.68965518E+00  -0.25158348E+02
   0.16000000E+02  -0.86206895E+00  -0.25158284E+02
   0.16000000E+02  -0.10344827E+01  -0.25158241E+02
   0.16000000E+02  -0.12068965E+01  -0.25158211E+02
   0.16000000E+02  -0.13793104E+01  -0.25158192E+02
   0.16000000E+02  -0.15517242E+01  -0.25158179E+02
   0.16000000E+02  -0.17241379E+01  -0.25158170E+02
   0.16000000E+02  -0.18965517E+01  -0.25158164E+02
   0.16000000E+02  -0.20689654E+01  -0.25158160E+02
   0.16000000E+02  -0.22413793E+01  -0.25158157E+02
   0.16000000E+02  -0.24137931E+01  -0.25158155E+02
   0.16000000E+02  -0.25862069E+01  -0.25158154E+02
   0.16000000E+02  -0.27586207E+01  -0.25158153E+02
   0.16000000E+02  -0.29310346E+01  -0.25158153E+02
   0.16000000E+02  -0.31034484E+01  -0.25158152E+02
   0.16000000E+02  -0.32758620E+01  -0.25158152E+02
   0.16000000E+02  -0.34482758E+01  -0.25158152E+02
   0.16000000E+02  -0.36206896E+01  -0.25158152E+02
   0.16000000E+02  -0.37931035E+01  -0.25158152E+02
   0.16000000E+02  -0.39655173E+01  -0.25158152E+02
   0.16000000E+02  -0.41379309E+01  -0.25158152E+02
   0.16000000E+02  -0.43103447E+01  -0.25158152E+02
   0.16000000E+02  -0.44827585E+01  -0.25158152E+02
   0.16000000E+02  -0.46551723E+01  -0.25158152E+02
   0.16000000E+02  -0.48275862E+01  -0.25158152E+02
   0.16000000E+02  -0.50000000E+01  -0.25158152E+02
 
   0.16344828E+02   0.00000000E+00  -0.25160336E+02
   0.16344828E+02  -0.17241380E+00  -0.25159638E+02
   0.16344828E+02  -0.34482759E+00  -0.25159169E+02
   0.16344828E+02  -0.51724136E+00  -0.25158853E+02
   0.16344828E+02  -0.68965518E+00  -0.25158641E+02
   0.16344828E+02  -0.86206895E+00  -0.25158499E+02
   0.16344828E+02  -0.10344827E+01  -0.25158403E+02
   0.16344828E+02  -0.12068965E+01  -0.25158338E+02
   0.16344828E+02  -0.13793104E+01  -0.25158295E+02
   0.16344828E+02  -0.15517242E+01  -0.25158266E+02
   0.16344828E+02  -0.17241379E+01  -0.25158246E+02
   0.16344828E+02  -0.18965517E+01  -0.25158233E+02
   0.16344828E+02  -0.20689654E+01  -0.25158224E+02
   0.16344828E+02  -0.22413793E+01  -0.25158218E+02
   0.16344828E+02  -0.24137931E+01  -0.25158214E+02
   0.16344828E+02  -0.25862069E+01  -0.25158211E+02
   0.16344828E+02  -0.27586207E+01  -0.25158210E+02
   0.16344828E+02  -0.29310346E+01  -0.25158208E+02
   0.16344828E+02  -0.31034484E+01  -0.25158207E+02
   0.16344828E+02  -0.32758620E+01  -0.25158207E+02
   0.16344828E+02  -0.34482758E+01  -0.25158207E+02
   0.16344828E+02  -0.36206896E+01  -0.25158206E+02
   0.16344828E+02  -0.37931035E+01  -0.25158206E+02
   0.16344828E+02  -0.39655173E+01  -0.25158206E+02
   0.16344828E+02  -0.41379309E+01  -0.25158206E+02
   0.16344828E+02  -0.43103447E+01  -0.25158206E+02
   0.16344828E+02  -0.44827585E+01  -0.25158206E+02
   0.16344828E+02  -0.46551723E+01  -0.25158206E+02
   0.16344828E+02  -0.48275862E+01  -0.25158206E+02
   0.16344828E+02  -0.50000000E+01  -0.25158206E+02
 
   0.16689655E+02   0.00000000E+00  -0.25163034E+02
   0.16689655E+02  -0.17241380E+00  -0.25161493E+02
   0.16689655E+02  -0.34482759E+00  -0.25160456E+02
   0.16689655E+02  -0.51724136E+00  -0.25159758E+02
   0.16689655E+02  -0.68965518E+00  -0.25159289E+02
   0.16689655E+02  -0.86206895E+00  -0.25158973E+02
   0.16689655E+02  -0.10344827E+01  -0.25158761E+02
   0.16689655E+02  -0.12068965E+01  -0.25158619E+02
   0.16689655E+02  -0.13793104E+01  -0.25158523E+02
   0.16689655E+02  -0.15517242E+01  -0.25158458E+02
   0.16689655E+02  -0.17241379E+01  -0.25158415E+02
   0.16689655E+02  -0.18965517E+01  -0.25158386E+02
   0.16689655E+02  -0.20689654E+01  -0.25158366E+02
   0.16689655E+02  -0.22413793E+01  -0.25158353E+02
   0.16689655E+02  -0.24137931E+01  -0.25158344E+02
   0.16689655E+02  -0.25862069E+01  -0.25158338E+02
   0.16689655E+02  -0.27586207E+01  -0.25158334E+02
   0.16689655E+02  -0.29310346E+01  -0.25158331E+02
