           30,          30
   0.16000000E+02   0.00000000E+00  -0.23860929E+02
   0.16000000E+02  -0.17241380E+00  -0.23860628E+02
   0.16000000E+02  -0.34482759E+00  -0.23860427E+02
   0.16000000E+02  -0.51724136E+00  -0.23860291E+02
   0.16000000E+02  -0.68965518E+00  -0.23860199E+02
   0.16000000E+02  -0.86206895E+00  -0.23860138E+02
   0.16000000E+02  -0.10344827E+01  -0.23860097E+02
   0.16000000E+02  -0.12068965E+01  -0.23860069E+02
   0.16000000E+02  -0.13793104E+01  -0.23860050E+02
   0.16000000E+02  -0.15517242E+01  -0.23860038E+02
   0.16000000E+02  -0.17241379E+01  -0.23860029E+02
   0.16000000E+02  -0.18965517E+01  -0.23860024E+02
   0.16000000E+02  -0.20689654E+01  -0.23860020E+02
   0.16000000E+02  -0.22413793E+01  -0.23860017E+02
   0.16000000E+02  -0.24137931E+01  -0.23860016E+02
   0.16000000E+02  -0.25862069E+01  -0.23860014E+02
   0.16000000E+02  -0.27586207E+01  -0.23860014E+02
   0.16000000E+02  -0.29310346E+01  -0.23860013E+02
   0.16000000E+02  -0.31034484E+01  -0.23860013E+02
   0.16000000E+02  -0.32758620E+01  -0.23860013E+02
   0.16000000E+02  -0.34482758E+01  -0.23860012E+02
   0.16000000E+02  -0.36206896E+01  -0.23860012E+02
   0.16000000E+02  -0.37931035E+01  -0.23860012E+02
   0.16000000E+02  -0.39655173E+01  -0.23860012E+02
   0.16000000E+02  -0.41379309E+01  -0.23860012E+02
   0.16000000E+02  -0.43103447E+01  -0.23860012E+02
   0.16000000E+02  -0.44827585E+01  -0.23860012E+02
   0.16000000E+02  -0.46551723E+01  -0.23860012E+02
   0.16000000E+02  -0.48275862E+01  -0.23860012E+02
   0.16000000E+02  -0.50000000E+01  -0.23860012E+02
 
   0.16344828E+02   0.00000000E+00  -0.23862091E+02
   0.16344828E+02  -0.17241380E+00  -0.23861427E+02
   0.16344828E+02  -0.34482759E+00  -0.23860980E+02
   0.16344828E+02  -0.51724136E+00  -0.23860680E+02
   0.16344828E+02  -0.68965518E+00  -0.23860478E+02
   0.16344828E+02  -0.86206895E+00  -0.23860342E+02
   0.16344828E+02  -0.10344827E+01  -0.23860251E+02
   0.16344828E+02  -0.12068965E+01  -0.23860190E+02
   0.16344828E+02  -0.13793104E+01  -0.23860148E+02
   0.16344828E+02  -0.15517242E+01  -0.23860120E+02
   0.16344828E+02  -0.17241379E+01  -0.23860102E+02
   0.16344828E+02  -0.18965517E+01  -0.23860089E+02
   0.16344828E+02  -0.20689654E+01  -0.23860081E+02
   0.16344828E+02  -0.22413793E+01  -0.23860075E+02
   0.16344828E+02  -0.24137931E+01  -0.23860071E+02
   0.16344828E+02  -0.25862069E+01  -0.23860069E+02
   0.16344828E+02  -0.27586207E+01  -0.23860067E+02
   0.16344828E+02  -0.29310346E+01  -0.23860066E+02
   0.16344828E+02  -0.31034484E+01  -0.23860065E+02
   0.16344828E+02  -0.32758620E+01  -0.23860065E+02
   0.16344828E+02  -0.34482758E+01  -0.23860064E+02
   0.16344828E+02  -0.36206896E+01  -0.23860064E+02
   0.16344828E+02  -0.37931035E+01  -0.23860064E+02
   0.16344828E+02  -0.39655173E+01  -0.23860064E+02
   0.16344828E+02  -0.41379309E+01  -0.23860064E+02
   0.16344828E+02  -0.43103447E+01  -0.23860064E+02
   0.16344828E+02  -0.44827585E+01  -0.23860064E+02
   0.16344828E+02  -0.46551723E+01  -0.23860064E+02
   0.16344828E+02  -0.48275862E+01  -0.23860064E+02
   0.16344828E+02  -0.50000000E+01  -0.23860064E+02
 
   0.16689655E+02   0.00000000E+00  -0.23864658E+02
   0.16689655E+02  -0.17241380E+00  -0.23863191E+02
   0.16689655E+02  -0.34482759E+00  -0.23862204E+02
   0.16689655E+02  -0.51724136E+00  -0.23861540E+02
   0.16689655E+02  -0.68965518E+00  -0.23861094E+02
   0.16689655E+02  -0.86206895E+00  -0.23860794E+02
   0.16689655E+02  -0.10344827E+01  -0.23860592E+02
   0.16689655E+02  -0.12068965E+01  -0.23860456E+02
   0.16689655E+02  -0.13793104E+01  -0.23860365E+02
   0.16689655E+02  -0.15517242E+01  -0.23860303E+02
   0.16689655E+02  -0.17241379E+01  -0.23860262E+02
   0.16689655E+02  -0.18965517E+01  -0.23860234E+02
   0.16689655E+02  -0.20689654E+01  -0.23860216E+02
   0.16689655E+02  -0.22413793E+01  -0.23860203E+02
   0.16689655E+02  -0.24137931E+01  -0.23860195E+02
   0.16689655E+02  -0.25862069E+01  -0.23860189E+02
   0.16689655E+02  -0.27586207E+01  -0.23860185E+02
   0.16689655E+02  -0.29310346E+01  -0.23860183E+02
   0.16689655E+02  -0.31034484E+01  -0.23860181E+02
   0.16689655E+02  -0.32758620E+01  -0.23860180E+02
   0.16689655E+02  -0.34482758E+01  -0.23860179E+02
   0.16689655E+02  -0.36206896E+01  -0.23860178E+02
   0.16689655E+02  -0.37931035E+01  -0.23860178E+02
   0.16689655E+02  -0.39655173E+01  -0.23860178E+02
   0.16689655E+02  -0.41379309E+01  -0.23860178E+02
   0.16689655E+02  -0.43103447E+01  -0.23860178E+02
   0.16689655E+02  -0.44827585E+01  -0.23860178E+02
   0.16689655E+02  -0.46551723E+01  -0.23860177E+02
   0.16689655E+02  -0.48275862E+01  -0.23860177E+02
   0.16689655E+02  -0.50000000E+01  -0.23860177E+02
 
   0.17034483E+02   0.00000000E+00  -0.23870322E+02
   0.17034483E+02  -0.17241380E+00  -0.23867087E+02
   0.17034483E+02  -0.34482759E+00  -0.23864909E+02
   0.17034483E+02  -0.51724136E+00  -0.23863442E+02
   0.17034483E+02  -0.68965518E+00  -0.23862456E+02
   0.17034483E+02  -0.86206895E+00  -0.23861792E+02
   0.17034483E+02  -0.10344827E+01  -0.23861346E+02
   0.17034483E+02  -0.12068965E+01  -0.23861045E+02
   0.17034483E+02  -0.13793104E+01  -0.23860843E+02
   0.17034483E+02  -0.15517242E+01  -0.23860708E+02
   0.17034483E+02  -0.17241379E+01  -0.23860616E+02
   0.17034483E+02  -0.18965517E+01  -0.23860555E+02
   0.17034483E+02  -0.20689654E+01  -0.23860514E+02
   0.17034483E+02  -0.22413793E+01  -0.23860486E+02
   0.17034483E+02  -0.24137931E+01  -0.23860467E+02
   0.17034483E+02  -0.25862069E+01  -0.23860455E+02
   0.17034483E+02  -0.27586207E+01  -0.23860446E+02
   0.17034483E+02  -0.29310346E+01  -0.23860441E+02
   0.17034483E+02  -0.31034484E+01  -0.23860437E+02
   0.17034483E+02  -0.32758620E+01  -0.23860434E+02
   0.17034483E+02  -0.34482758E+01  -0.23860433E+02
   0.17034483E+02  -0.36206896E+01  -0.23860432E+02
   0.17034483E+02  -0.37931035E+01  -0.23860431E+02
   0.17034483E+02  -0.39655173E+01  -0.23860430E+02
   0.17034483E+02  -0.41379309E+01  -0.23860430E+02
   0.17034483E+02  -0.43103447E+01  -0.23860430E+02
   0.17034483E+02  -0.44827585E+01  -0.23860429E+02
   0.17034483E+02  -0.46551723E+01  -0.23860429E+02
   0.17034483E+02  -0.48275862E+01  -0.23860429E+02
   0.17034483E+02  -0.50000000E+01  -0.23860429E+02
 
   0.17379311E+02   0.00000000E+00  -0.23882779E+02
   0.17379311E+02  -0.17241380E+00  -0.23875672E+02
   0.17379311E+02  -0.34482759E+00  -0.23870875E+02
   0.17379311E+02  -0.51724136E+00  -0.23867641E+02
   0.17379311E+02  -0.68965518E+00  -0.23865464E+02
   0.17379311E+02  -0.86206895E+00  -0.23863998E+02
   0.17379311E+02  -0.10344827E+01  -0.23863012E+02
   0.17379311E+02  -0.12068965E+01  -0.23862348E+02
   0.17379311E+02  -0.13793104E+01  -0.23861902E+02
   0.17379311E+02  -0.15517242E+01  -0.23861602E+02
   0.17379311E+02  -0.17241379E+01  -0.23861400E+02
   0.17379311E+02  -0.18965517E+01  -0.23861264E+02
   0.17379311E+02  -0.20689654E+01  -0.23861173E+02
   0.17379311E+02  -0.22413793E+01  -0.23861112E+02
   0.17379311E+02  -0.24137931E+01  -0.23861071E+02
   0.17379311E+02  -0.25862069E+01  -0.23861043E+02
   0.17379311E+02  -0.27586207E+01  -0.23861024E+02
   0.17379311E+02  -0.29310346E+01  -0.23861012E+02
   0.17379311E+02  -0.31034484E+01  -0.23861003E+02
   0.17379311E+02  -0.32758620E+01  -0.23860998E+02
   0.17379311E+02  -0.34482758E+01  -0.23860994E+02
   0.17379311E+02  -0.36206896E+01  -0.23860991E+02
   0.17379311E+02  -0.37931035E+01  -0.23860989E+02
   0.17379311E+02  -0.39655173E+01  -0.23860988E+02
   0.17379311E+02  -0.41379309E+01  -0.23860988E+02
   0.17379311E+02  -0.43103447E+01  -0.23860987E+02
   0.17379311E+02  -0.44827585E+01  -0.23860987E+02
   0.17379311E+02  -0.46551723E+01  -0.23860986E+02
   0.17379311E+02  -0.48275862E+01  -0.23860986E+02
   0.17379311E+02  -0.50000000E+01  -0.23860986E+02
 
   0.17724138E+02   0.00000000E+00  -0.23909977E+02
   0.17724138E+02  -0.17241380E+00  -0.23894492E+02
   0.17724138E+02  -0.34482759E+00  -0.23883991E+02
   0.17724138E+02  -0.51724136E+00  -0.23876890E+02
   0.17724138E+02  -0.68965518E+00  -0.23872097E+02
   0.17724138E+02  -0.86206895E+00  -0.23868867E+02
   0.17724138E+02  -0.10344827E+01  -0.23866691E+02
   0.17724138E+02  -0.12068965E+01  -0.23865226E+02
   0.17724138E+02  -0.13793104E+01  -0.23864241E+02
   0.17724138E+02  -0.15517242E+01  -0.23863578E+02
   0.17724138E+02  -0.17241379E+01  -0.23863132E+02
   0.17724138E+02  -0.18965517E+01  -0.23862832E+02
   0.17724138E+02  -0.20689654E+01  -0.23862631E+02
   0.17724138E+02  -0.22413793E+01  -0.23862495E+02
   0.17724138E+02  -0.24137931E+01  -0.23862404E+02
   0.17724138E+02  -0.25862069E+01  -0.23862343E+02
   0.17724138E+02  -0.27586207E+01  -0.23862301E+02
   0.17724138E+02  -0.29310346E+01  -0.23862274E+02
   0.17724138E+02  -0.31034484E+01  -0.23862255E+02
   0.17724138E+02  -0.32758620E+01  -0.23862243E+02
   0.17724138E+02  -0.34482758E+01  -0.23862234E+02
   0.17724138E+02  -0.36206896E+01  -0.23862229E+02
   0.17724138E+02  -0.37931035E+01  -0.23862225E+02
   0.17724138E+02  -0.39655173E+01  -0.23862222E+02
   0.17724138E+02  -0.41379309E+01  -0.23862220E+02
   0.17724138E+02  -0.43103447E+01  -0.23862219E+02
   0.17724138E+02  -0.44827585E+01  -0.23862219E+02
   0.17724138E+02  -0.46551723E+01  -0.23862218E+02
   0.17724138E+02  -0.48275862E+01  -0.23862218E+02
   0.17724138E+02  -0.50000000E+01  -0.23862217E+02
 
   0.18068966E+02   0.00000000E+00  -0.23968382E+02
   0.18068966E+02  -0.17241380E+00  -0.23935294E+02
   0.18068966E+02  -0.34482759E+00  -0.23912605E+02
   0.18068966E+02  -0.51724136E+00  -0.23897151E+02
   0.18068966E+02  -0.68965518E+00  -0.23886670E+02
   0.18068966E+02  -0.86206895E+00  -0.23879582E+02
   0.18068966E+02  -0.10344827E+01  -0.23874798E+02
   0.18068966E+02  -0.12068965E+01  -0.23871574E+02
   0.18068966E+02  -0.13793104E+01  -0.23869402E+02
   0.18068966E+02  -0.15517242E+01  -0.23867940E+02
   0.18068966E+02  -0.17241379E+01  -0.23866956E+02
   0.18068966E+02  -0.18965517E+01  -0.23866295E+02
   0.18068966E+02  -0.20689654E+01  -0.23865850E+02
   0.18068966E+02  -0.22413793E+01  -0.23865550E+02
   0.18068966E+02  -0.24137931E+01  -0.23865349E+02
   0.18068966E+02  -0.25862069E+01  -0.23865214E+02
   0.18068966E+02  -0.27586207E+01  -0.23865123E+02
   0.18068966E+02  -0.29310346E+01  -0.23865062E+02
   0.18068966E+02  -0.31034484E+01  -0.23865021E+02
   0.18068966E+02  -0.32758620E+01  -0.23864993E+02
   0.18068966E+02  -0.34482758E+01  -0.23864974E+02
   0.18068966E+02  -0.36206896E+01  -0.23864962E+02
   0.18068966E+02  -0.37931035E+01  -0.23864953E+02
   0.18068966E+02  -0.39655173E+01  -0.23864948E+02
   0.18068966E+02  -0.41379309E+01  -0.23864944E+02
