#size(cm)    E(eV)        Qabs         Qsca         g(cos)       
1.000000e-07 1.239842e-03 1.371000e-07 2.530000e-21 0.000000e+00 
1.000000e-07 1.313253e-03 1.538000e-07 3.185000e-21 0.000000e+00 
1.000000e-07 1.391049e-03 1.726000e-07 4.010000e-21 0.000000e+00 
1.000000e-07 1.473546e-03 1.936000e-07 5.048000e-21 0.000000e+00 
1.000000e-07 1.560924e-03 2.173000e-07 6.355000e-21 0.000000e+00 
1.000000e-07 1.653343e-03 2.438000e-07 8.000000e-21 0.000000e+00 
1.000000e-07 1.751437e-03 2.736000e-07 1.007000e-20 0.000000e+00 
1.000000e-07 1.855218e-03 3.070000e-07 1.268000e-20 0.000000e+00 
1.000000e-07 1.964884e-03 3.445000e-07 1.596000e-20 0.000000e+00 
1.000000e-07 2.081319e-03 3.866000e-07 2.010000e-20 0.000000e+00 
1.000000e-07 2.204947e-03 4.338000e-07 2.530000e-20 0.000000e+00 
1.000000e-07 2.335359e-03 4.869000e-07 3.186000e-20 0.000000e+00 
1.000000e-07 2.473747e-03 5.464000e-07 4.011000e-20 0.000000e+00 
1.000000e-07 2.620122e-03 6.132000e-07 5.049000e-20 0.000000e+00 
1.000000e-07 2.775558e-03 6.883000e-07 6.357000e-20 0.000000e+00 
1.000000e-07 2.940104e-03 7.726000e-07 8.003000e-20 0.000000e+00 
1.000000e-07 3.114398e-03 8.671000e-07 1.008000e-19 0.000000e+00 
1.000000e-07 3.299207e-03 9.732000e-07 1.269000e-19 0.000000e+00 
1.000000e-07 3.494481e-03 1.092000e-06 1.597000e-19 0.000000e+00 
1.000000e-07 3.701021e-03 1.226000e-06 2.011000e-19 0.000000e+00 
1.000000e-07 3.921069e-03 1.377000e-06 2.532000e-19 0.000000e+00 
1.000000e-07 4.153574e-03 1.546000e-06 3.187000e-19 0.000000e+00 
1.000000e-07 4.399723e-03 1.736000e-06 4.013000e-19 0.000000e+00 
1.000000e-07 4.659308e-03 1.949000e-06 5.054000e-19 0.000000e+00 
1.000000e-07 4.935676e-03 2.189000e-06 6.363000e-19 0.000000e+00 
1.000000e-07 5.229194e-03 2.459000e-06 8.012000e-19 0.000000e+00 
1.000000e-07 5.537481e-03 2.763000e-06 1.009000e-18 0.000000e+00 
1.000000e-07 5.867685e-03 3.104000e-06 1.270000e-18 0.000000e+00 
1.000000e-07 6.214747e-03 3.489000e-06 1.599000e-18 0.000000e+00 
1.000000e-07 6.580902e-03 3.920000e-06 2.014000e-18 0.000000e+00 
1.000000e-07 6.973239e-03 4.405000e-06 2.536000e-18 0.000000e+00 
1.000000e-07 7.384407e-03 4.952000e-06 3.194000e-18 0.000000e+00 
1.000000e-07 7.822347e-03 5.569000e-06 4.022000e-18 0.000000e+00 
1.000000e-07 8.287713e-03 6.264000e-06 5.065000e-18 0.000000e+00 
1.000000e-07 8.774536e-03 7.048000e-06 6.379000e-18 0.000000e+00 
1.000000e-07 9.294167e-03 7.932000e-06 8.034000e-18 0.000000e+00 
1.000000e-07 9.847831e-03 8.930000e-06 1.012000e-17 0.000000e+00 
1.000000e-07 1.042760e-02 1.006000e-05 1.275000e-17 0.000000e+00 
1.000000e-07 1.105028e-02 1.132000e-05 1.606000e-17 0.000000e+00 
1.000000e-07 1.170767e-02 1.277000e-05 2.022000e-17 0.000000e+00 
1.000000e-07 1.239842e-02 1.439000e-05 2.547000e-17 0.000000e+00 
1.000000e-07 1.313253e-02 1.624000e-05 3.208000e-17 0.000000e+00 
1.000000e-07 1.391049e-02 1.833000e-05 4.041000e-17 0.000000e+00 
