           30,          30
  -0.48829088E+01   0.00000000E+00  -0.12402282E+02
  -0.48829088E+01  -0.17241380E+00  -0.12543365E+02
  -0.48829088E+01  -0.34482759E+00  -0.12673174E+02
  -0.48829088E+01  -0.51724136E+00  -0.12789173E+02
  -0.48829088E+01  -0.68965518E+00  -0.12889328E+02
  -0.48829088E+01  -0.86206895E+00  -0.12972584E+02
  -0.48829088E+01  -0.10344827E+01  -0.13039150E+02
  -0.48829088E+01  -0.12068965E+01  -0.13090438E+02
  -0.48829088E+01  -0.13793104E+01  -0.13128677E+02
  -0.48829088E+01  -0.15517242E+01  -0.13156423E+02
  -0.48829088E+01  -0.17241379E+01  -0.13176127E+02
  -0.48829088E+01  -0.18965517E+01  -0.13189897E+02
  -0.48829088E+01  -0.20689654E+01  -0.13199407E+02
  -0.48829088E+01  -0.22413793E+01  -0.13205919E+02
  -0.48829088E+01  -0.24137931E+01  -0.13210354E+02
  -0.48829088E+01  -0.25862069E+01  -0.13213361E+02
  -0.48829088E+01  -0.27586207E+01  -0.13215395E+02
  -0.48829088E+01  -0.29310346E+01  -0.13216767E+02
  -0.48829088E+01  -0.31034484E+01  -0.13217692E+02
  -0.48829088E+01  -0.32758620E+01  -0.13218316E+02
  -0.48829088E+01  -0.34482758E+01  -0.13218735E+02
  -0.48829088E+01  -0.36206896E+01  -0.13219017E+02
  -0.48829088E+01  -0.37931035E+01  -0.13219207E+02
  -0.48829088E+01  -0.39655173E+01  -0.13219335E+02
  -0.48829088E+01  -0.41379309E+01  -0.13219421E+02
  -0.48829088E+01  -0.43103447E+01  -0.13219479E+02
  -0.48829088E+01  -0.44827585E+01  -0.13219518E+02
  -0.48829088E+01  -0.46551723E+01  -0.13219544E+02
  -0.48829088E+01  -0.48275862E+01  -0.13219561E+02
  -0.48829088E+01  -0.50000000E+01  -0.13219573E+02
 
  -0.43656673E+01   0.00000000E+00  -0.12403450E+02
  -0.43656673E+01  -0.17241380E+00  -0.12544171E+02
  -0.43656673E+01  -0.34482759E+00  -0.12673735E+02
  -0.43656673E+01  -0.51724136E+00  -0.12789569E+02
  -0.43656673E+01  -0.68965518E+00  -0.12889613E+02
  -0.43656673E+01  -0.86206895E+00  -0.12972794E+02
  -0.43656673E+01  -0.10344827E+01  -0.13039310E+02
  -0.43656673E+01  -0.12068965E+01  -0.13090563E+02
  -0.43656673E+01  -0.13793104E+01  -0.13128779E+02
  -0.43656673E+01  -0.15517242E+01  -0.13156509E+02
  -0.43656673E+01  -0.17241379E+01  -0.13176203E+02
  -0.43656673E+01  -0.18965517E+01  -0.13189966E+02
  -0.43656673E+01  -0.20689654E+01  -0.13199471E+02
  -0.43656673E+01  -0.22413793E+01  -0.13205980E+02
  -0.43656673E+01  -0.24137931E+01  -0.13210413E+02
  -0.43656673E+01  -0.25862069E+01  -0.13213418E+02
