           30,          30
  -0.48829088E+01   0.00000000E+00  -0.12041075E+02
  -0.48829088E+01  -0.17241380E+00  -0.12040217E+02
  -0.48829088E+01  -0.34482759E+00  -0.12039187E+02
  -0.48829088E+01  -0.51724136E+00  -0.12037822E+02
  -0.48829088E+01  -0.68965518E+00  -0.12035909E+02
  -0.48829088E+01  -0.86206895E+00  -0.12033152E+02
  -0.48829088E+01  -0.10344827E+01  -0.12029133E+02
  -0.48829088E+01  -0.12068965E+01  -0.12023254E+02
  -0.48829088E+01  -0.13793104E+01  -0.12014677E+02
  -0.48829088E+01  -0.15517242E+01  -0.12002432E+02
  -0.48829088E+01  -0.17241379E+01  -0.11984582E+02
  -0.48829088E+01  -0.18965517E+01  -0.11959324E+02
  -0.48829088E+01  -0.20689654E+01  -0.11924285E+02
  -0.48829088E+01  -0.22413793E+01  -0.11876901E+02
  -0.48829088E+01  -0.24137931E+01  -0.11814794E+02
  -0.48829088E+01  -0.25862069E+01  -0.11736268E+02
  -0.48829088E+01  -0.27586207E+01  -0.11640744E+02
  -0.48829088E+01  -0.29310346E+01  -0.11528921E+02
  -0.48829088E+01  -0.31034484E+01  -0.11402584E+02
  -0.48829088E+01  -0.32758620E+01  -0.11264147E+02
  -0.48829088E+01  -0.34482758E+01  -0.11116169E+02
  -0.48829088E+01  -0.36206896E+01  -0.10960993E+02
  -0.48829088E+01  -0.37931035E+01  -0.10800566E+02
  -0.48829088E+01  -0.39655173E+01  -0.10636401E+02
  -0.48829088E+01  -0.41379309E+01  -0.10469623E+02
  -0.48829088E+01  -0.43103447E+01  -0.10301040E+02
  -0.48829088E+01  -0.44827585E+01  -0.10131221E+02
  -0.48829088E+01  -0.46551723E+01  -0.99605602E+01
  -0.48829088E+01  -0.48275862E+01  -0.97893291E+01
  -0.48829088E+01  -0.50000000E+01  -0.96177122E+01
 
  -0.43656673E+01   0.00000000E+00  -0.12042237E+02
  -0.43656673E+01  -0.17241380E+00  -0.12041016E+02
  -0.43656673E+01  -0.34482759E+00  -0.12039741E+02
  -0.43656673E+01  -0.51724136E+00  -0.12038211E+02
  -0.43656673E+01  -0.68965518E+00  -0.12036188E+02
  -0.43656673E+01  -0.86206895E+00  -0.12033357E+02
  -0.43656673E+01  -0.10344827E+01  -0.12029287E+02
  -0.43656673E+01  -0.12068965E+01  -0.12023375E+02
  -0.43656673E+01  -0.13793104E+01  -0.12014775E+02
  -0.43656673E+01  -0.15517242E+01  -0.12002515E+02
  -0.43656673E+01  -0.17241379E+01  -0.11984654E+02
  -0.43656673E+01  -0.18965517E+01  -0.11959390E+02
  -0.43656673E+01  -0.20689654E+01  -0.11924347E+02
  -0.43656673E+01  -0.22413793E+01  -0.11876960E+02
  -0.43656673E+01  -0.24137931E+01  -0.11814851E+02
  -0.43656673E+01  -0.25862069E+01  -0.11736324E+02
  -0.43656673E+01  -0.27586207E+01  -0.11640799E+02
  -0.43656673E+01  -0.29310346E+01  -0.11528976E+02
  -0.43656673E+01  -0.31034484E+01  -0.11402638E+02
  -0.43656673E+01  -0.32758620E+01  -0.11264201E+02
  -0.43656673E+01  -0.34482758E+01  -0.11116224E+02
  -0.43656673E+01  -0.36206896E+01  -0.10961048E+02
  -0.43656673E+01  -0.37931035E+01  -0.10800620E+02
  -0.43656673E+01  -0.39655173E+01  -0.10636456E+02
  -0.43656673E+01  -0.41379309E+01  -0.10469678E+02
  -0.43656673E+01  -0.43103447E+01  -0.10301094E+02
  -0.43656673E+01  -0.44827585E+01  -0.10131275E+02
  -0.43656673E+01  -0.46551723E+01  -0.99606144E+01
  -0.43656673E+01  -0.48275862E+01  -0.97893833E+01
  -0.43656673E+01  -0.50000000E+01  -0.96177665E+01
 
  -0.38484258E+01   0.00000000E+00  -0.12044805E+02
  -0.38484258E+01  -0.17241380E+00  -0.12042780E+02
  -0.38484258E+01  -0.34482759E+00  -0.12040965E+02
  -0.38484258E+01  -0.51724136E+00  -0.12039072E+02
  -0.38484258E+01  -0.68965518E+00  -0.12036804E+02
  -0.38484258E+01  -0.86206895E+00  -0.12033809E+02
  -0.38484258E+01  -0.10344827E+01  -0.12029628E+02
  -0.38484258E+01  -0.12068965E+01  -0.12023642E+02
  -0.38484258E+01  -0.13793104E+01  -0.12014992E+02
  -0.38484258E+01  -0.15517242E+01  -0.12002505E+02
  -0.38484258E+01  -0.17241379E+01  -0.11984815E+02
  -0.38484258E+01  -0.18965517E+01  -0.11959536E+02
  -0.38484258E+01  -0.20689654E+01  -0.11924483E+02
  -0.38484258E+01  -0.22413793E+01  -0.11877090E+02
  -0.38484258E+01  -0.24137931E+01  -0.11814977E+02
  -0.38484258E+01  -0.25862069E+01  -0.11736448E+02
  -0.38484258E+01  -0.27586207E+01  -0.11640921E+02
  -0.38484258E+01  -0.29310346E+01  -0.11529097E+02
  -0.38484258E+01  -0.31034484E+01  -0.11402759E+02
  -0.38484258E+01  -0.32758620E+01  -0.11264322E+02
  -0.38484258E+01  -0.34482758E+01  -0.11116344E+02
  -0.38484258E+01  -0.36206896E+01  -0.10961168E+02
  -0.38484258E+01  -0.37931035E+01  -0.10800740E+02
  -0.38484258E+01  -0.39655173E+01  -0.10636576E+02
  -0.38484258E+01  -0.41379309E+01  -0.10469798E+02
  -0.38484258E+01  -0.43103447E+01  -0.10301214E+02
  -0.38484258E+01  -0.44827585E+01  -0.10131395E+02
  -0.38484258E+01  -0.46551723E+01  -0.99607344E+01
  -0.38484258E+01  -0.48275862E+01  -0.97895033E+01
  -0.38484258E+01  -0.50000000E+01  -0.96178864E+01
 
  -0.33311843E+01   0.00000000E+00  -0.12050470E+02
  -0.33311843E+01  -0.17241380E+00  -0.12046677E+02
  -0.33311843E+01  -0.34482759E+00  -0.12043671E+02
  -0.33311843E+01  -0.51724136E+00  -0.12040975E+02
  -0.33311843E+01  -0.68965518E+00  -0.12038167E+02
  -0.33311843E+01  -0.86206895E+00  -0.12034808E+02
  -0.33311843E+01  -0.10344827E+01  -0.12030383E+02
  -0.33311843E+01  -0.12068965E+01  -0.12024233E+02
  -0.33311843E+01  -0.13793104E+01  -0.12015473E+02
  -0.33311843E+01  -0.15517242E+01  -0.12002912E+02
  -0.33311843E+01  -0.17241379E+01  -0.11985171E+02
  -0.33311843E+01  -0.18965517E+01  -0.11959859E+02
  -0.33311843E+01  -0.20689654E+01  -0.11924785E+02
  -0.33311843E+01  -0.22413793E+01  -0.11877377E+02
  -0.33311843E+01  -0.24137931E+01  -0.11815255E+02
  -0.33311843E+01  -0.25862069E+01  -0.11736720E+02
  -0.33311843E+01  -0.27586207E+01  -0.11641190E+02
  -0.33311843E+01  -0.29310346E+01  -0.11529364E+02
  -0.33311843E+01  -0.31034484E+01  -0.11403025E+02
  -0.33311843E+01  -0.32758620E+01  -0.11264588E+02
  -0.33311843E+01  -0.34482758E+01  -0.11116609E+02
  -0.33311843E+01  -0.36206896E+01  -0.10961433E+02
  -0.33311843E+01  -0.37931035E+01  -0.10801006E+02
  -0.33311843E+01  -0.39655173E+01  -0.10636841E+02
  -0.33311843E+01  -0.41379309E+01  -0.10470063E+02
  -0.33311843E+01  -0.43103447E+01  -0.10301480E+02
  -0.33311843E+01  -0.44827585E+01  -0.10131660E+02
  -0.33311843E+01  -0.46551723E+01  -0.99609998E+01
  -0.33311843E+01  -0.48275862E+01  -0.97897687E+01
